年龄,SDNN_mu,SDNN_sigma,RHR_mu,RHR_sigma,CSS_mu,CSS_sigma
15,52.8,22.9,71.0,11.9,87.0,8.7
16,52.5,22.7,71.0,11.9,86.6,8.7
17,52.2,22.5,71.0,11.9,86.2,8.6
18,51.9,22.3,71.0,11.9,85.8,8.6
19,51.6,22.1,71.0,11.9,85.4,8.5
20,51.3,21.9,71.0,11.9,85.0,8.5
21,51.1,21.7,71.0,11.9,84.6,8.5
22,50.8,21.5,71.0,11.9,84.2,8.4
23,50.6,21.3,71.0,11.9,83.8,8.4
24,50.3,21.1,71.0,11.9,83.4,8.3
25,50.0,20.9,71.0,11.9,83.0,8.3
26,49.7,20.7,71.0,11.9,82.6,8.3
27,49.4,20.4,71.0,11.9,82.2,8.2
28,49.0,20.1,71.0,11.9,81.8,8.2
29,48.6,19.8,71.0,11.9,81.4,8.1
30,48.2,19.5,71.0,11.9,81.0,8.1
31,47.9,19.3,71.0,11.9,80.6,8.1
32,47.7,19.1,71.0,11.9,80.2,8.0
33,47.5,19.0,71.0,11.9,79.8,8.0
34,47.3,18.9,71.0,11.9,79.4,7.9
35,46.8,18.5,71.0,11.9,79.0,7.9
36,46.2,18.2,71.0,11.9,78.6,7.9
37,45.7,17.8,71.0,11.9,78.2,7.8
38,45.2,17.5,71.0,11.9,77.8,7.8
39,44.6,17.2,71.0,11.9,77.4,7.7
40,44.1,16.8,71.0,11.9,77.0,7.7
41,43.6,16.6,71.0,11.9,76.6,7.7
42,43.2,16.4,71.0,11.9,76.2,7.6
43,42.7,16.2,71.0,11.9,75.8,7.6
44,42.2,16.0,71.0,11.9,75.4,7.5
45,41.7,15.8,71.0,11.9,75.0,7.5
46,41.2,15.6,71.0,11.9,74.6,7.5
47,40.8,15.4,71.0,11.9,74.2,7.4
48,40.3,15.2,71.0,11.9,73.8,7.4
49,39.8,15.0,71.0,11.9,73.4,7.3
50,39.3,14.8,71.0,11.9,73.0,7.3
51,38.8,14.7,71.0,11.9,72.6,7.3
52,38.4,14.5,71.0,11.9,72.2,7.2
53,37.9,14.4,71.0,11.9,71.8,7.2
54,37.4,14.2,71.0,11.9,71.4,7.1
55,36.9,14.1,71.0,11.9,71.0,7.1
56,36.4,13.9,71.0,11.9,70.6,7.1
57,36.0,13.8,71.0,11.9,70.2,7.0
58,35.5,13.7,71.0,11.9,69.8,7.0
59,35.0,13.5,71.0,11.9,69.4,6.9
60,34.5,13.4,71.0,11.9,69.0,6.9
61,34.1,13.3,71.0,11.9,68.6,6.9
62,33.7,13.2,71.0,11.9,68.2,6.8
63,33.3,13.1,71.0,11.9,67.8,6.8
64,32.9,13.0,71.0,11.9,67.4,6.7
65,32.5,12.9,71.0,11.9,67.0,6.7
66,32.1,12.8,71.0,11.9,66.6,6.7
67,31.7,12.7,71.0,11.9,66.2,6.6
68,31.3,12.6,71.0,11.9,65.8,6.6
69,30.9,12.5,71.0,11.9,65.4,6.5
70,30.5,12.4,71.0,11.9,65.0,6.5
71,30.3,12.4,71.0,11.9,64.6,6.5
72,30.0,12.3,71.0,11.9,64.2,6.4
73,29.8,12.3,71.0,11.9,63.8,6.4
74,29.6,12.2,71.0,11.9,63.4,6.3
75,29.4,12.2,71.0,11.9,63.0,6.3
76,29.1,12.1,71.0,11.9,62.6,6.3
77,28.9,12.1,71.0,11.9,62.2,6.2
78,28.7,12.0,71.0,11.9,61.8,6.2
79,28.5,12.0,71.0,11.9,61.4,6.1
80,28.3,11.9,71.0,11.9,61.0,6.1
