年龄,SDNN_mu,SDNN_sigma,RHR_mu,RHR_sigma,CSS_mu,CSS_sigma
15,51.2,20.7,77.0,10.6,87.0,8.7
16,50.8,20.5,77.0,10.6,86.6,8.7
17,50.5,20.3,76.0,10.6,86.2,8.6
18,50.2,20.1,76.0,10.6,85.8,8.6
19,49.9,20.0,76.0,10.6,85.4,8.5
20,49.8,19.9,76.0,10.6,85.0,8.5
21,49.5,19.7,76.0,10.6,84.6,8.5
22,49.1,19.5,76.0,10.6,84.2,8.4
23,48.8,19.3,76.0,10.6,83.8,8.4
24,48.4,19.1,76.0,10.6,83.4,8.3
25,48.1,18.9,76.0,10.6,83.0,8.3
26,47.7,18.7,76.0,10.6,82.6,8.3
27,47.3,18.5,76.0,10.6,82.2,8.2
28,46.9,18.3,75.0,10.6,81.8,8.2
29,46.5,18.1,75.0,10.6,81.4,8.1
30,46.1,17.9,75.0,10.6,81.0,8.1
31,45.7,17.7,75.0,10.6,80.6,8.1
32,45.3,17.5,75.0,10.6,80.2,8.0
33,44.9,17.3,75.0,10.6,79.8,8.0
34,44.5,17.1,75.0,10.6,79.4,7.9
35,44.1,16.9,75.0,10.6,79.0,7.9
36,43.7,16.7,75.0,10.6,78.6,7.9
37,43.3,16.5,75.0,10.6,78.2,7.8
38,42.9,16.3,75.0,10.6,77.8,7.8
39,42.5,16.1,75.0,10.6,77.4,7.7
40,42.1,15.9,75.0,10.6,77.0,7.7
41,41.6,15.7,75.0,10.6,76.6,7.7
42,41.2,15.5,75.0,10.6,76.2,7.6
43,40.7,15.3,75.0,10.6,75.8,7.6
44,40.2,15.1,75.0,10.6,75.4,7.5
45,39.8,14.9,75.0,10.6,75.0,7.5
46,39.3,14.7,75.0,10.6,74.6,7.5
47,38.8,14.5,75.0,10.6,74.2,7.4
48,38.3,14.3,75.0,10.6,73.8,7.4
49,37.9,14.1,75.0,10.6,73.4,7.3
50,37.4,13.9,75.0,10.6,73.0,7.3
51,36.9,13.8,75.0,10.6,72.6,7.3
52,36.5,13.6,75.0,10.6,72.2,7.2
53,36.0,13.4,75.0,10.6,71.8,7.2
54,35.5,13.3,75.0,10.6,71.4,7.1
55,35.1,13.1,75.0,10.6,71.0,7.1
56,34.6,13.0,75.0,10.6,70.6,7.1
57,34.1,12.8,75.0,10.6,70.2,7.0
58,33.7,12.7,73.0,10.6,69.8,7.0
59,33.2,12.5,73.0,10.6,69.4,6.9
60,32.7,12.4,73.0,10.6,69.0,6.9
61,32.3,12.3,73.0,10.6,68.6,6.9
62,31.8,12.1,73.0,10.6,68.2,6.8
63,31.4,12.0,73.0,10.6,67.8,6.8
64,30.9,11.9,73.0,10.6,67.4,6.7
65,30.5,11.8,73.0,10.6,67.0,6.7
66,30.0,11.7,73.0,10.6,66.6,6.7
67,29.6,11.6,73.0,10.6,66.2,6.6
68,29.1,11.5,73.0,10.6,65.8,6.6
69,28.7,11.4,73.0,10.6,65.4,6.5
70,28.2,11.3,73.0,10.6,65.0,6.5
71,27.9,11.3,73.0,10.6,64.6,6.5
72,27.7,11.2,73.0,10.6,64.2,6.4
73,27.4,11.2,73.0,10.6,63.8,6.4
74,27.2,11.1,73.0,10.6,63.4,6.3
75,26.9,11.1,73.0,10.6,63.0,6.3
76,26.7,11.0,73.0,10.6,62.6,6.3
77,26.4,11.0,73.0,10.6,62.2,6.2
78,26.2,10.9,73.0,10.6,61.8,6.2
79,25.9,10.9,73.0,10.6,61.4,6.1
80,25.7,10.8,73.0,10.6,61.0,6.1
