group,var,score,readiness,readiness_float,diagnosis
single,fatigue,1,88,87.988,Well-adapted
single,fatigue,2,88,87.879,Well-adapted
single,fatigue,3,86,86.470,Well-adapted
single,fatigue,4,86,86.433,Well-adapted
single,fatigue,5,86,86.377,Well-adapted
single,fatigue,6,58,58.296,FOR
single,fatigue,7,58,58.276,FOR
single,soreness,1,88,87.729,Well-adapted
single,soreness,2,88,87.660,Well-adapted
single,soreness,3,86,85.912,Well-adapted
single,soreness,4,86,85.847,Well-adapted
single,soreness,5,86,85.744,Well-adapted
single,soreness,6,58,58.251,FOR
single,soreness,7,58,58.176,FOR
single,stress,1,88,87.834,Well-adapted
single,stress,2,88,87.736,Well-adapted
single,stress,3,86,85.695,Well-adapted
single,stress,4,86,85.626,Well-adapted
single,stress,5,86,85.519,Well-adapted
single,stress,6,57,57.090,FOR
single,stress,7,57,56.850,FOR
single,sleep,1,88,87.690,Well-adapted
single,sleep,2,88,87.624,Well-adapted
single,sleep,3,86,86.496,Well-adapted
single,sleep,4,86,86.455,Well-adapted
single,sleep,5,86,86.390,Well-adapted
single,sleep,6,59,59.204,FOR
single,sleep,7,59,59.244,FOR
combined,all,1,89,89.177,Well-adapted
combined,all,2,89,88.965,Well-adapted
combined,all,3,84,83.985,Well-adapted
combined,all,4,84,83.906,Well-adapted
combined,all,5,59,58.775,FOR
combined,all,6,52,52.032,FOR
combined,all,7,51,50.887,Acute Fatigue
