group,var,score,readiness,readiness_float,diagnosis
single,fatigue,1,88,87.901,Well-adapted
single,fatigue,2,88,87.778,Well-adapted
single,fatigue,3,87,87.034,Well-adapted
single,fatigue,4,87,86.698,Well-adapted
single,fatigue,5,86,86.158,Well-adapted
single,fatigue,6,85,84.608,Well-adapted
single,fatigue,7,82,81.660,Well-adapted
single,soreness,1,88,87.674,Well-adapted
single,soreness,2,88,87.541,Well-adapted
single,soreness,3,87,86.686,Well-adapted
single,soreness,4,86,86.350,Well-adapted
single,soreness,5,86,85.728,Well-adapted
single,soreness,6,85,84.961,Well-adapted
single,soreness,7,83,83.390,Well-adapted
single,stress,1,88,87.756,Well-adapted
single,stress,2,88,87.579,Well-adapted
single,stress,3,87,86.523,Well-adapted
single,stress,4,86,86.182,Well-adapted
single,stress,5,86,85.583,Well-adapted
single,stress,6,85,85.265,Well-adapted
single,stress,7,84,84.467,Well-adapted
single,sleep,1,88,87.638,Well-adapted
single,sleep,2,88,87.545,Well-adapted
single,sleep,3,87,86.971,Well-adapted
single,sleep,4,87,86.769,Well-adapted
single,sleep,5,86,86.408,Well-adapted
single,sleep,6,86,86.073,Well-adapted
single,sleep,7,85,85.316,Well-adapted
combined,all,1,89,89.007,Well-adapted
combined,all,2,89,88.587,Well-adapted
combined,all,3,85,85.349,Well-adapted
combined,all,4,84,84.451,Well-adapted
combined,all,5,58,58.055,FOR
combined,all,6,56,55.696,FOR
combined,all,7,54,53.872,FOR
