group,var,score,readiness,readiness_float,diagnosis
single,fatigue,1,88,87.901,Well-adapted
single,fatigue,2,88,87.693,Well-adapted
single,fatigue,3,87,87.414,Well-adapted
single,fatigue,4,87,87.019,Well-adapted
single,fatigue,5,86,86.399,Well-adapted
single,fatigue,6,85,85.118,Well-adapted
single,fatigue,7,58,58.304,FOR
single,soreness,1,88,87.674,Well-adapted
single,soreness,2,87,87.462,Well-adapted
single,soreness,3,87,87.204,Well-adapted
single,soreness,4,87,86.872,Well-adapted
single,soreness,5,86,86.399,Well-adapted
single,soreness,6,86,85.537,Well-adapted
single,soreness,7,58,58.283,FOR
single,stress,1,88,87.756,Well-adapted
single,stress,2,87,87.485,Well-adapted
single,stress,3,87,87.183,Well-adapted
single,stress,4,87,86.835,Well-adapted
single,stress,5,86,86.409,Well-adapted
single,stress,6,86,85.787,Well-adapted
single,stress,7,57,57.191,FOR
single,sleep,1,88,87.638,Well-adapted
single,sleep,2,87,87.493,Well-adapted
single,sleep,3,87,87.326,Well-adapted
single,sleep,4,87,87.122,Well-adapted
single,sleep,5,87,86.851,Well-adapted
single,sleep,6,86,86.398,Well-adapted
single,sleep,7,59,59.190,FOR
combined,all,1,89,89.007,Well-adapted
combined,all,2,88,88.367,Well-adapted
combined,all,3,86,86.495,Well-adapted
combined,all,4,85,85.478,Well-adapted
combined,all,5,57,57.238,FOR
combined,all,6,56,55.752,FOR
combined,all,7,52,52.500,FOR
