date,training_load,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper,alcohol,late_caffeine,screen_before_bed,late_meal,is_sick,is_injured,score,diagnosis
2025-09-01,中,1,3,1,4,0,1,0,1,0,0,87.0,Well-adapted
2025-09-02,极高,1,3,2,3,0,0,1,0,0,1,60.0,FOR
2025-09-03,中,6,7,5,4,0,0,0,1,0,0,56.0,FOR
2025-09-04,低,5,4,5,3,0,0,0,0,0,0,80.0,Well-adapted
2025-09-05,中,2,3,3,4,0,1,1,0,0,0,85.0,Well-adapted
2025-09-06,极高,4,2,4,4,0,0,0,0,0,0,77.0,Well-adapted
2025-09-07,中,7,5,6,7,1,0,1,0,0,0,52.0,FOR
2025-09-08,低,3,5,5,5,0,0,1,1,0,0,55.0,FOR
2025-09-09,低,5,5,5,4,0,0,0,0,0,0,53.0,FOR
2025-09-10,低,4,3,3,3,0,0,0,0,0,0,84.0,Well-adapted
