date,training_load,sleep_performance_state,restorative_sleep,hrv_trend,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper
2025-08-01,中,medium,medium,stable,3,3,3,3
2025-08-02,高,medium,medium,slight_decline,4,4,3,3
2025-08-03,高,medium,medium,slight_decline,5,5,4,4
2025-08-04,高,poor,low,significant_decline,6,6,5,5
2025-08-05,低,medium,medium,stable,3,3,3,3
2025-08-06,中,medium,medium,stable,3,3,3,3
2025-08-07,中,medium,medium,stable,3,3,3,3
2025-08-08,高,medium,medium,slight_decline,4,5,4,4
2025-08-09,高,poor,low,significant_decline,6,6,5,5
2025-08-10,低,good,high,stable,2,2,2,2
2025-08-11,中,medium,medium,stable,3,3,3,3
2025-08-12,中,medium,medium,stable,3,3,3,3
2025-08-13,高,medium,medium,slight_decline,4,4,3,3
2025-08-14,高,poor,low,significant_decline,5,6,5,5
2025-08-15,中,medium,medium,stable,3,3,3,3
2025-08-16,低,good,high,rising,2,2,2,2
2025-08-17,中,medium,medium,stable,3,3,3,3
2025-08-18,中,medium,medium,stable,3,3,3,3
2025-08-19,高,medium,medium,slight_decline,4,4,3,3
2025-08-20,高,poor,low,significant_decline,6,6,5,5
2025-08-21,低,good,high,stable,2,2,2,2
2025-08-22,中,medium,medium,stable,3,3,3,3
2025-08-23,中,medium,medium,stable,3,3,3,3
2025-08-24,高,medium,medium,slight_decline,4,4,3,3
2025-08-25,高,poor,low,significant_decline,6,6,5,5
2025-08-26,低,good,high,rising,2,2,2,2
2025-08-27,中,medium,medium,stable,3,3,3,3
2025-08-28,中,medium,medium,stable,3,3,3,3
2025-08-29,高,medium,medium,slight_decline,4,4,3,3
2025-08-30,低,good,high,stable,2,2,2,2
