date,user_id,gender,training_load,apple_sleep_score,sleep_duration_hours,sleep_efficiency,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper,hrv_trend,restorative_ratio,nutrition,gi_symptoms,alcohol_consumed,late_caffeine,screen_before_bed,late_meal,is_sick,is_injured
2025-07-01,standard_user,男,低,59.0,,,3,2,2,3,rising,0.67,adequate,none,True,False,False,True,False,False
2025-07-02,standard_user,男,高,72.0,,,4,3,1,3,slight_decline,0.714,adequate,none,True,False,False,False,False,False
2025-07-03,standard_user,男,低,65.0,,,4,1,3,4,stable,0.661,adequate,none,False,False,False,False,False,False
2025-07-04,standard_user,男,中,80.0,,,2,3,1,3,stable,0.756,adequate,none,False,False,False,False,True,False
2025-07-05,standard_user,男,中,76.0,,,5,3,2,5,slight_decline,0.683,adequate,none,False,False,False,False,False,False
2025-07-06,standard_user,男,低,,6.8,0.834,1,1,2,3,slight_decline,0.665,adequate,mild,False,False,False,True,False,False
2025-07-07,standard_user,男,中,75.0,,,3,1,3,5,stable,0.651,inadequate_mild,none,False,False,False,True,False,False
2025-07-08,standard_user,男,中,70.0,,,2,3,2,2,stable,0.654,adequate,none,False,False,False,True,False,False
2025-07-09,standard_user,男,低,,7.6,0.771,4,2,3,5,stable,0.824,inadequate_mild,none,False,False,False,False,False,False
2025-07-10,standard_user,男,低,62.0,,,3,1,2,3,rising,0.813,adequate,none,True,True,True,False,False,False
2025-07-11,standard_user,男,低,88.0,,,2,4,4,3,rising,0.802,adequate,mild,False,False,True,False,False,False
2025-07-12,standard_user,男,中,,8.1,0.769,2,2,4,3,slight_decline,0.714,adequate,none,False,False,False,True,False,False
2025-07-13,standard_user,男,中,,8.4,0.894,2,4,4,5,stable,0.858,adequate,mild,True,False,False,False,False,False
2025-07-14,standard_user,男,低,,8.1,0.863,4,2,2,4,stable,0.783,inadequate_mild,none,False,True,False,False,False,False
2025-07-15,standard_user,男,低,,6.7,0.782,5,1,2,5,rising,0.707,inadequate_mild,none,False,False,False,False,False,False
2025-07-16,standard_user,男,中,,7.0,0.817,3,4,3,2,rising,0.793,inadequate_mild,none,True,False,True,False,False,False
2025-07-17,standard_user,男,中,68.0,,,4,3,1,4,rising,0.711,adequate,none,False,False,False,False,False,False
2025-07-18,standard_user,男,高,61.0,,,1,4,3,2,rising,0.827,inadequate_mild,none,False,False,False,False,False,False
2025-07-19,standard_user,男,中,72.0,,,5,1,3,3,slight_decline,0.66,adequate,none,False,False,True,True,False,False
2025-07-20,standard_user,男,中,72.0,,,2,2,2,5,rising,0.819,adequate,mild,False,False,False,False,False,False
2025-07-21,standard_user,男,低,,8.2,0.788,4,3,3,3,stable,0.802,adequate,none,False,True,False,False,False,False
2025-07-22,standard_user,男,低,,7.2,0.755,3,2,3,2,rising,0.75,inadequate_mild,none,False,False,True,False,False,False
2025-07-23,standard_user,男,高,91.0,,,5,2,3,5,rising,0.793,inadequate_mild,none,False,False,True,False,False,False
2025-07-24,standard_user,男,高,84.0,,,4,2,3,5,rising,0.716,adequate,none,False,False,True,False,False,False
2025-07-25,standard_user,男,中,63.0,,,3,3,1,3,stable,0.836,adequate,none,True,False,False,False,False,False
2025-07-26,standard_user,男,低,87.0,,,4,4,2,3,rising,0.829,adequate,none,False,False,False,False,False,False
2025-07-27,standard_user,男,中,92.0,,,5,3,4,5,slight_decline,0.821,adequate,mild,False,False,False,False,False,False
2025-07-28,standard_user,男,低,62.0,,,3,2,3,4,stable,0.669,adequate,none,False,True,True,False,False,False
2025-07-29,standard_user,男,高,84.0,,,4,1,4,5,rising,0.719,adequate,mild,False,False,False,False,False,False
2025-07-30,standard_user,男,低,82.0,,,3,4,2,5,stable,0.773,adequate,none,True,False,False,False,False,False
2025-07-31,standard_user,男,中,79.0,,,4,3,4,4,rising,0.654,inadequate_mild,none,False,False,False,False,False,False
2025-08-01,standard_user,男,低,,6.9,0.753,2,2,2,5,rising,0.868,adequate,none,False,True,False,False,False,False
2025-08-02,standard_user,男,低,,6.7,0.754,3,4,4,3,rising,0.809,inadequate_mild,none,True,False,False,False,False,False
2025-08-03,standard_user,男,中,,7.2,0.823,3,1,3,2,slight_decline,0.674,adequate,mild,False,False,False,False,False,False
